DD;Fecha;NDVI;;kc;Temporada;
173;21 de noviembre de 2021;0.396892;396892;0.51130925;21-22;44348
178;26 de noviembre de 2021;0.453418;453418;0.578433875;21-22;44348
183;1 de diciembre de 2021;0.454693;454693;0.579947938;21-22;44348
188;6 de diciembre de 2021;0.492998;492998;0.625435125;21-22;44348
193;11 de diciembre de 2021;0.467672;467672;0.5953605;21-22;44348
198;16 de diciembre de 2021;0.416473;416473;0.534561688;21-22;44348
208;26 de diciembre de 2021;0.439515;439515;0.561924063;21-22;44348
213;31 de diciembre de 2021;0.432205;432205;0.553243438;21-22;44348
218;5 de enero de 2022;0.443964;443964;0.56720725;21-22;44348
223;10 de enero de 2022;0.41407;41407;0.531708125;21-22;44348
228;15 de enero de 2022;0.406101;406101;0.522244938;21-22;44348
233;20 de enero de 2022;0.427199;427199;0.547298813;21-22;44348
238;25 de enero de 2022;0.469666;469666;0.597728375;21-22;44348
243;30 de enero de 2022;0.489617;489617;0.621420188;21-22;44348
248;4 de febrero de 2022;0.494282;494282;0.626959875;21-22;44348
253;9 de febrero de 2022;0.465303;465303;0.592547313;21-22;44348
258;14 de febrero de 2022;0.509157;509157;0.644623938;21-22;44348
263;19 de febrero de 2022;0.461254;461254;0.587739125;21-22;44348
273;1 de marzo de 2022;0.45113;45113;0.575716875;21-22;44348
278;6 de marzo de 2022;0.42137;42137;0.540376875;21-22;44348
288;16 de marzo de 2022;0.426436;426436;0.54639275;21-22;44348
293;21 de marzo de 2022;0.418269;418269;0.536694438;21-22;44348
298;26 de marzo de 2022;0.415965;415965;0.533958438;21-22;44348
303;31 de marzo de 2022;0.378305;378305;0.489237188;21-22;44348
308;5 de abril de 2022;0.395995;395995;0.510244063;21-22;44348
318;15 de abril de 2022;0.397707;397707;0.512277063;21-22;44348
323;20 de abril de 2022;0.398649;398649;0.513395688;21-22;44348
328;25 de abril de 2022;0.392478;392478;0.506067625;21-22;44348
333;30 de abril de 2022;0.403314;403314;0.518935375;21-22;44348
338;5 de mayo de 2022;0.39425;39425;0.508171875;21-22;44348
343;10 de mayo de 2022;0.203899;203899;0.282130063;21-22;44348
